,flips,time,size
0,16.0,21.516783762685403,16.0
1,20.0,25.640503875968992,16.0
2,28.0,31.10348432055749,16.0
3,34.0,36.85275196568978,16.0
4,17.0,26.01513019000704,16.0
5,26.0,29.74537695590327,16.0
6,15.0,28.738259919912633,16.0
7,19.0,30.472747918243755,16.0
8,30.0,35.19814814814815,16.0
9,22.0,26.759787034137176,16.0
10,20.0,26.15691402419091,16.0
11,23.0,29.966666666666665,16.0
12,23.0,33.42176360225141,16.0
13,25.0,33.181451612903224,16.0
14,35.0,41.07783783783784,16.0
15,15.0,24.79767054908486,16.0
16,37.0,37.114156965828016,16.0
17,22.0,32.85392051557465,16.0
18,31.0,38.93713700034165,16.0
19,18.0,32.23592906707787,16.0
20,31.0,32.432432432432435,16.0
21,28.0,31.22864401397269,16.0
22,22.0,27.32380013149244,16.0
23,22.0,27.72573839662447,16.0
24,25.0,30.017045454545453,16.0
25,18.0,21.304444996275144,16.0
26,28.0,32.569053274516456,16.0
27,31.0,29.424627791563275,16.0
28,30.0,31.517872968980797,16.0
29,21.0,26.922599704579024,16.0
30,16.0,25.021148036253777,16.0
31,16.0,25.106361829025843,16.0
32,22.0,25.698339483394832,16.0
33,28.0,31.067434767875298,16.0
34,19.0,27.666051660516604,16.0
35,18.0,29.40698557327259,16.0
36,18.0,27.76508474576271,16.0
37,29.0,31.87676056338028,16.0
38,20.0,28.388362652232747,16.0
39,19.0,27.560375994215473,16.0
40,22.0,29.002813928948296,16.0
41,21.0,31.77848101265823,16.0
42,27.0,31.508295625942687,16.0
43,18.0,32.802543270929,16.0
44,18.0,31.60753711457937,16.0
45,34.0,33.09032488397001,16.0
46,19.0,33.12452107279694,16.0
47,28.0,31.845489111648806,16.0
48,23.0,30.726880172724,16.0
49,18.0,30.571233810497613,16.0
50,34.0,40.79148148148148,16.0
51,15.0,28.014799865455768,16.0
52,15.0,29.36861810755616,16.0
53,15.0,28.133962264150945,16.0
54,31.0,33.141047586443,16.0
55,32.0,34.52874404979861,16.0
56,16.0,27.5512729844413,16.0
57,33.0,33.22046968103751,16.0
58,30.0,35.03525641025641,16.0
59,34.0,39.87949101796407,16.0
60,24.0,30.48,16.0
61,27.0,33.60429788810671,16.0
62,21.0,27.729099157485418,16.0
63,25.0,32.136913767019664,16.0
64,20.0,25.93060959792477,16.0
65,20.0,28.831710709318497,16.0
66,18.0,26.9240253248917,16.0
67,41.0,33.49938195302843,16.0
68,42.0,37.7980969372584,16.0
69,18.0,24.661427810335642,16.0
70,27.0,28.698612455630848,16.0
71,22.0,29.807881773399014,16.0
72,33.0,38.708708708708706,16.0
73,32.0,27.887323943661972,16.0
74,17.0,29.60488308115543,16.0
75,20.0,28.240622788393487,16.0
76,25.0,30.944424264438794,16.0
77,26.0,25.462937448332873,16.0
78,17.0,25.33812949640288,16.0
79,26.0,29.35585003232062,16.0
80,25.0,29.163418803418804,16.0
81,27.0,34.61541311596888,16.0
82,18.0,29.651779483600837,16.0
83,25.0,29.972096041531472,16.0
84,21.0,26.458509599739667,16.0
85,22.0,31.897196261682243,16.0
86,31.0,40.76121562952243,16.0
87,18.0,26.0940283734741,16.0
88,22.0,32.06837280366692,16.0
89,24.0,29.425426136363637,16.0
90,23.0,30.687732342007436,16.0
91,18.0,26.14925887624957,16.0
92,35.0,38.07916818679314,16.0
93,21.0,27.154558404558404,16.0
94,19.0,29.43757072802716,16.0
95,18.0,31.209567198177677,16.0
96,20.0,30.5603847524047,16.0
97,22.0,32.809283915077366,16.0
98,31.0,28.378965922444184,16.0
99,17.0,27.470844504021446,16.0
100,17.0,24.757684761281883,16.0
101,25.0,33.05899705014749,16.0
102,13.0,27.38868205510052,16.0
103,41.0,32.11422606620936,16.0
104,24.0,35.815597667638485,16.0
105,19.0,28.58732660781841,16.0
106,18.0,33.889135254988915,16.0
107,29.0,34.09943181818182,16.0
108,25.0,31.705987809250626,16.0
109,26.0,33.38204667863555,16.0
110,18.0,29.241601628775026,16.0
111,25.0,27.86627906976744,16.0
112,25.0,26.434387814879905,16.0
113,23.0,26.75564681724846,16.0
114,47.0,33.62566844919786,16.0
115,13.0,25.923969072164947,16.0
116,26.0,32.43358310626703,16.0
117,18.0,29.03922942206655,16.0
118,43.0,39.87472446730345,16.0
119,35.0,38.725729051310445,16.0
120,29.0,36.54568076786349,16.0
121,31.0,33.69104965804341,16.0
122,20.0,28.193350548741122,16.0
123,22.0,30.489436619718308,16.0
124,21.0,29.25,16.0
125,26.0,33.23074046372476,16.0
126,19.0,27.960790667530784,16.0
127,34.0,36.92075471698113,16.0
128,37.0,37.61191961191961,16.0
129,31.0,32.62556758644778,16.0
130,24.0,31.21719767043508,16.0
131,23.0,31.282467532467532,16.0
132,18.0,30.55112651646447,16.0
133,31.0,33.970426409903716,16.0
134,21.0,27.430705105939563,16.0
135,25.0,31.543178519593614,16.0
136,26.0,25.242776288352697,16.0
137,20.0,26.910017574692443,16.0
138,25.0,34.76258714175058,16.0
139,33.0,40.13277133825079,16.0
140,24.0,28.198029556650248,16.0
141,22.0,84.4381984422621,16.0
142,16.0,25.155865197666884,16.0
143,35.0,37.606622998544395,16.0
144,16.0,26.38965639390719,16.0
145,20.0,31.511151079136692,16.0
146,25.0,33.56924172303311,16.0
147,17.0,28.487967914438503,16.0
148,16.0,27.11193502824859,16.0
149,27.0,35.56181057436287,16.0
150,20.0,30.687456445993032,16.0
151,28.0,33.977037037037036,16.0
152,23.0,31.92552026286966,16.0
153,32.0,31.33128834355828,16.0
154,16.0,30.276677094195342,16.0
155,20.0,29.15950704225352,16.0
156,12.0,25.012422360248447,16.0
157,15.0,27.677881173944165,16.0
158,13.0,29.388177710843372,16.0
159,14.0,32.984375,16.0
160,27.0,36.47373913043478,16.0
161,31.0,32.249606051055785,16.0
162,29.0,34.71544715447155,16.0
163,24.0,26.33611031312841,16.0
164,13.0,24.337507453786525,16.0
165,23.0,27.144966847498495,16.0
166,33.0,35.099281068127354,16.0
167,29.0,32.72248117604876,16.0
168,22.0,29.953001715265867,16.0
169,28.0,30.782132181999337,16.0
170,26.0,29.98974709501025,16.0
171,18.0,30.003824091778203,16.0
172,13.0,29.295871559633028,16.0
173,30.0,31.382632293080054,16.0
174,23.0,34.913271028037386,16.0
175,26.0,32.26704953338119,16.0
176,26.0,34.48184568835099,16.0
177,34.0,34.53682037164487,16.0
178,16.0,22.3616298811545,16.0
179,17.0,26.687677053824363,16.0
180,30.0,31.960453920220083,16.0
181,22.0,28.217865666553017,16.0
182,23.0,28.414210870988867,16.0
183,29.0,29.81162715167262,16.0
184,21.0,26.161416044170185,16.0
185,22.0,30.870250896057346,16.0
186,23.0,30.662865288667142,16.0
187,14.0,27.48405386250886,16.0
188,24.0,33.63209189001044,16.0
189,19.0,30.530221882172913,16.0
190,26.0,31.82072307118897,16.0
191,25.0,32.43780918727915,16.0
192,22.0,33.27645051194539,16.0
193,22.0,28.73568735001714,16.0
194,27.0,37.39281663516068,16.0
195,17.0,27.442934782608695,16.0
196,23.0,35.27582335329341,16.0
197,22.0,27.722478576137114,16.0
198,16.0,31.483685220729367,16.0
199,40.0,39.968817204301075,16.0
200,23.0,29.881473757386168,16.0
201,18.0,26.53408316291752,16.0
202,20.0,26.26274907125971,16.0
203,25.0,29.1764917325665,16.0
204,31.0,33.569968276348256,16.0
205,25.0,34.574188844331026,16.0
206,15.0,27.298022598870055,16.0
207,23.0,34.53680981595092,16.0
208,18.0,28.34148148148148,16.0
209,15.0,27.98175965665236,16.0
210,32.0,38.44384198295894,16.0
211,25.0,28.998629667694416,16.0
212,31.0,36.43856920684292,16.0
213,21.0,29.006802721088434,16.0
214,36.0,43.49329359165425,16.0
215,18.0,25.802069857697283,16.0
216,18.0,30.579226686884002,16.0
217,24.0,33.75767918088737,16.0
218,24.0,29.254901960784313,16.0
219,27.0,35.76290991330569,16.0
220,26.0,31.761241970021413,16.0
221,17.0,31.059451219512194,16.0
222,30.0,34.37154989384289,16.0
223,24.0,32.816057293629854,16.0
224,27.0,34.256605139341296,16.0
225,17.0,28.82562547384382,16.0
226,33.0,35.92371418709009,16.0
227,32.0,40.22904244124869,16.0
228,22.0,29.05122950819672,16.0
229,30.0,38.28195488721804,16.0
230,29.0,31.62684563758389,16.0
231,20.0,24.989329268292682,16.0
232,22.0,32.714878482513335,16.0
233,16.0,26.66080901856764,16.0
234,35.0,34.88793399793744,16.0
235,30.0,35.76071679550246,16.0
236,30.0,34.696594427244584,16.0
237,15.0,23.1437578814628,16.0
238,30.0,40.11880819366853,16.0
239,28.0,28.182998454404945,16.0
240,16.0,23.9876100423867,16.0
241,28.0,35.589652728561305,16.0
242,25.0,32.06609087495306,16.0
243,34.0,36.42710544939845,16.0
244,17.0,21.470807097882084,16.0
245,27.0,29.39139139139139,16.0
246,21.0,30.02227255568139,16.0
247,29.0,35.53566121842496,16.0
248,22.0,31.31737588652482,16.0
249,22.0,30.65637783562663,16.0
250,18.0,35.56234369417649,16.0
251,28.0,28.25187265917603,16.0
252,19.0,30.044331641285957,16.0
253,30.0,33.66504491017964,16.0
254,24.0,29.1968085106383,16.0
255,28.0,33.48990627253064,16.0
256,64.0,58.50286011440458,32.0
257,33.0,47.683402705515086,32.0
258,36.0,51.91369552914544,32.0
259,50.0,57.737517831669045,32.0
260,80.0,66.89727757507718,32.0
261,92.0,73.97445863409217,32.0
262,61.0,60.08585313174946,32.0
263,41.0,48.614486601220484,32.0
264,55.0,54.23792824386296,32.0
265,57.0,59.85813704496788,32.0
266,25.0,47.63965469228627,32.0
267,73.0,65.40185601799774,32.0
268,50.0,53.065202150035056,32.0
269,49.0,60.03948387096774,32.0
270,55.0,56.515001239771884,32.0
271,77.0,60.58166346417787,32.0
272,41.0,58.801797040169134,32.0
273,70.0,65.05817782656422,32.0
274,41.0,50.620406189555126,32.0
275,46.0,53.82348156182213,32.0
276,88.0,64.1484108221697,32.0
277,34.0,54.86431742508324,32.0
278,49.0,59.53732833957553,32.0
279,64.0,54.18250455610518,32.0
280,56.0,61.13094245204337,32.0
281,37.0,49.01255766273706,32.0
282,56.0,56.32303448275862,32.0
283,67.0,61.23496391339214,32.0
284,39.0,51.708788209606986,32.0
285,44.0,50.60707732634338,32.0
286,46.0,58.6597510373444,32.0
287,51.0,53.932849852269676,32.0
288,36.0,52.513211658948514,32.0
289,58.0,50.56925675675676,32.0
290,66.0,59.90998931623932,32.0
291,52.0,58.54248006598845,32.0
292,98.0,73.4481223922114,32.0
293,73.0,62.91787970337819,32.0
294,43.0,55.440883977900555,32.0
295,29.0,101.65321934277317,32.0
296,57.0,61.89430894308943,32.0
297,61.0,55.42875715028601,32.0
298,86.0,63.815776209677416,32.0
299,59.0,59.874836001049594,32.0
300,86.0,72.48626300346758,32.0
301,33.0,49.69062759192701,32.0
302,55.0,49.89899975603806,32.0
303,50.0,57.557466557466554,32.0
304,87.0,65.41839378238342,32.0
305,42.0,52.59065628476085,32.0
306,77.0,65.00792183786639,32.0
307,74.0,66.71947555312757,32.0
308,27.0,49.96132596685083,32.0
309,76.0,67.01790140457175,32.0
310,54.0,54.74061064577141,32.0
311,86.0,67.35766031660853,32.0
312,55.0,56.913055181695825,32.0
313,57.0,59.055692055692056,32.0
314,42.0,57.51001112347052,32.0
315,70.0,67.68538076709282,32.0
316,52.0,55.07182466332189,32.0
317,67.0,47.42757916241062,32.0
318,79.0,56.31524197195839,32.0
319,73.0,60.988351481387696,32.0
320,81.0,64.34842214174857,32.0
321,41.0,52.32560043668122,32.0
322,38.0,51.548514330791484,32.0
323,41.0,53.87865293626496,32.0
324,31.0,51.03105763850028,32.0
325,42.0,62.781643835616435,32.0
326,36.0,51.085015940488844,32.0
327,37.0,56.732689655172415,32.0
328,40.0,51.018191546281436,32.0
329,58.0,61.12788778877888,32.0
330,54.0,64.02956764295676,32.0
331,41.0,50.2503239181135,32.0
332,76.0,64.95478356768679,32.0
333,47.0,50.04311251314406,32.0
334,40.0,50.28817667654188,32.0
335,59.0,56.28316985028395,32.0
336,64.0,51.19177241097012,32.0
337,42.0,54.482606438213914,32.0
338,41.0,52.34319847950041,32.0
339,52.0,52.425222929936304,32.0
340,78.0,65.56822916666667,32.0
341,51.0,45.58712121212121,32.0
342,64.0,53.705464868701206,32.0
343,42.0,54.232365145228215,32.0
344,28.0,56.414047553976495,32.0
345,39.0,50.24401041666667,32.0
346,35.0,52.02090209020902,32.0
347,73.0,61.67949072792693,32.0
348,62.0,56.882878009196645,32.0
349,32.0,55.00567375886525,32.0
350,58.0,63.4436005625879,32.0
351,56.0,63.28379489991774,32.0
352,41.0,53.582471420794775,32.0
353,74.0,70.33756491633007,32.0
354,37.0,50.877996803409694,32.0
355,55.0,67.6672131147541,32.0
356,74.0,66.34342584805158,32.0
357,62.0,64.14493158335661,32.0
358,38.0,53.41678480294868,32.0
359,64.0,61.87335305189567,32.0
360,54.0,47.07952021323856,32.0
361,75.0,71.64562717304092,32.0
362,57.0,56.09823078954317,32.0
363,44.0,56.70844686648501,32.0
364,67.0,59.04648588821251,32.0
365,63.0,61.16694444444445,32.0
366,40.0,54.17493762129193,32.0
367,45.0,57.52046951044947,32.0
368,98.0,72.77447163515016,32.0
369,37.0,58.54001088731628,32.0
370,66.0,55.69076923076923,32.0
371,48.0,58.495779403489024,32.0
372,42.0,52.26407154129406,32.0
373,52.0,58.55679045811873,32.0
374,48.0,47.85734364019677,32.0
375,60.0,54.10732538330494,32.0
376,51.0,55.105588393336916,32.0
377,54.0,55.39591439688716,32.0
378,34.0,46.54608976081698,32.0
379,72.0,63.4762174405436,32.0
380,60.0,59.29358303497659,32.0
381,51.0,50.549891540130155,32.0
382,63.0,58.90015764582238,32.0
383,41.0,52.508168316831686,32.0
384,62.0,60.4953125,32.0
385,50.0,53.514005983138425,32.0
386,32.0,43.720128904313334,32.0
387,45.0,48.96898517673888,32.0
388,85.0,62.735347985347985,32.0
389,44.0,56.44011581995262,32.0
390,68.0,65.07726889575723,32.0
391,68.0,61.55903071287687,32.0
392,61.0,58.47929306251649,32.0
393,36.0,51.160309721823914,32.0
394,74.0,70.91301954307734,32.0
395,82.0,65.82061266874351,32.0
396,58.0,62.83625100996499,32.0
397,58.0,57.312756077574434,32.0
398,29.0,46.53000822143053,32.0
399,63.0,59.428684418665966,32.0
400,43.0,50.71947283485745,32.0
401,59.0,57.19676478387696,32.0
402,44.0,56.229729729729726,32.0
